id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight,data_points,footnote,min_year_acquired
118804,321358,1,2.0,1001,,,33.9,21,,2015
118805,321359,1,1.0,1000,,,227.0,24,,2018
118806,321359,2,1.0,1009,,,30.5,1,,2018
118807,321359,3,1.0,1045,,,976.0,1,,2018
118808,321360,1,5.0,1082,,,49.7,11,,2016
118809,321360,2,1.0,1000,,,152.0,11,,2016
118864,321900,1,1.0,1000,,chopped,76.0,12,,2001
118891,322228,1,1.0,1000,,,233.0,24,,2018
118892,322228,2,1.0,1009,,,30.5,1,,2018
118893,322228,3,1.0,1045,,,976.0,1,,2018
118920,322559,1,1.0,1000,,,229.0,24,,2018
118921,322559,2,1.0,1009,,,30.6,1,,2018
118922,322559,3,1.0,1045,,,980.0,1,,2018
118951,322892,1,1.0,1000,,,229.0,25,,2018
118952,322892,2,1.0,1009,,,30.5,1,,2018
118953,322892,3,1.0,1001,,,15.0,1,,2018
118954,322892,4,1.0,1045,,,976.0,1,,2018
118987,323121,1,1.0,1043,,,48.6,32,,2015
119057,323505,1,1.0,1000,,"pieces of ~1""",20.6,9,,2015
119097,324038,1,2.0,1001,,,35.7,24,,2011
119129,324317,1,1.0,1043,,,20.2,21,,2012
119202,324653,1,1.0,1077,,,40.4,36,,2016
119233,325036,1,1.0,1001,,,7.6,23,,2013
119282,325430,1,1.0,1000,,slices with skin,154.0,14,,2001
119283,325430,2,1.0,1028,,"small (2-1/2"" dia)",147.0,14,,2001
119284,325430,3,1.0,1028,,"medium (2-2/3"" dia)",161.0,9,,2001
119285,325430,4,1.0,1028,,"large (2-3/4"" dia)",173.0,9,,2001
119286,325430,5,1.0,1028,,"extra large (3"" dia)",225.0,8,,2001
119287,325430,6,1.0,1049,,NLEA ,147.0,1,,2001
119299,325524,1,1.0,1000,,,127.0,11,,2015
119321,325658,1,1.0,1033,,medium,86.6,21,,2016
119338,325871,1,1.0,1050,,,27.3,16,,2010
119397,326135,1,1.0,1050,,regular,21.9,826,,2013
119398,326135,2,1.0,1050,,thin,10.9,439,,2013
119500,326698,1,1.0,1002,,,6.0,34,,2003
119501,326698,2,1.0,1000,,,249.0,34,,2003
119504,326905,1,1.0,1000,,,149.0,1,,2001
119505,326905,2,1.0,1071,,,8.4,1,,2001
119516,327198,1,1.0,1000,,cubes,160.0,1,,2001
119517,327198,2,1.0,1000,,diced,156.0,1,,2001
119518,327198,3,1.0,1071,,"large (about 6-1/2"" dia)",814.0,1,,2001
119519,327198,4,1.0,1060,,large (1/8 of large melon),102.0,1,,2001
119520,327198,5,1.0,1071,,"medium (about 5"" dia)",552.0,1,,2001
119521,327198,6,1.0,1060,,medium (1/8 of medium melon),69.0,1,,2001
119522,327198,7,1.0,1071,,"small (about 4-1/4"" dia)",441.0,1,,2001
119523,327198,8,1.0,1060,,small (1/8 of small melon),55.0,1,,2001
119524,327198,9,10.0,1044,,balls,138.0,1,,2001
119530,327357,1,1.0,1000,, slices,143.0,1,,2000
119531,327357,2,1.0,1071,,"2-1/3"" dia",129.0,1,,2000
119532,327357,3,1.0,1071,," 2-1/2"" dia",142.0,1,,2000
119533,327357,4,1.0,1071,,"2-3/4"" dia",156.0,1,,2000
119534,327357,5,1.0,1049,,NLEA,140.0,1,,2000
119544,327923,1,1.0,1117,,,581.0,4,,2001
119619,328637,1,1.0,1050,,,17.0,31,,2013
119620,328637,2,1.0,1000,shredded,,105.0,41,,2014
119685,329370,1,1.0,1000,,,86.2,32,,2013
119735,330137,1,1.0,1023,,,156.0,21,,2012
119748,330458,1,1.0,1001,,liquid oil,11.6,10,,2014
121308,331897,1,1.0,1026,,without skin,94.7,60,,2010
121309,331897,2,1.0,1026,,with skin,104.0,60,,2010
121343,331960,1,1.0,1043,,,174.0,55,,2012
121438,332397,1,1.0,1050,,,13.5,21,,2015
121478,332791,1,1.0,1067,,,3.2,25,,2015
121697,334194,1,1.0,1019,,drained solids,107.0,48,,2011
121698,334194,2,1.0,1019,,total can contents,142.0,48,,2011
121732,334247,1,1.0,1002,,,4.0,19,,2006
121733,334247,2,1.0,1000,,,188.0,14,,2006
121952,335240,1,1.0,1050,,,32.1,19,,2012
187512,746771,1,1.0,1000,,sections no membranes,165.0,1,,2001
187513,746771,2,1.0,1071,," 2-7/8"" dia",140.0,1,,2001
187515,746773,1,1.0,1000,,slices,140.0,1,,2000
187516,746773,2,1.0,1071,,small,148.0,1,,2000
187517,746773,3,1.0,1071,,medium,178.0,1,,2000
187518,746773,4,1.0,1071,,large,230.0,1,,2000
187521,746775,1,1.0,1002,,,6.1,24,,2018
190538,747997,1,1.0,1099,,white,34.0,576,,2019
193781,748967,1,1.0,1099,,whole without shell,50.3,526,,2019
234698,790646,1,1.0,1120,,Edible,143.0,44,,2019
235156,790991,1,1.0,1119,,Peeled,115.0,102,,2019
291304,2705630,5,,9999,1 large ice cream cup,64735,360.0,,,
291303,2705630,4,,9999,1 medium ice cream cup,64734,240.0,,,
291302,2705630,3,,9999,1 small ice cream cup,64733,120.0,,,
291307,2705630,8,,9999,Quantity not specified,90000,135.0,,,
291306,2705630,7,,9999,1 individual container,60868,75.0,,,
291300,2705630,1,,9999,1 cup,10205,135.0,,,
